FEEDER,FEEDER,INSTALL_DATE,SUBSTATION,COUNTY,KV,AREA,TYPE,CUSTOMERS,RESIDENTIAL,COMMERCIAL,INDUSTRIAL,AFS,CAPBANK,3PH_OCR,1PH_OCR,FDR_OH,FDR_UG,LAT_OH,LAT_UG,POLE_COUNT,REGION,RELAY,AFS_SCHEME,HARDENING,FI,HAS_AFS,HAS_AFS_OCR,IS_DADE,HAS_INDUSTRIAL,LENGTH,PCT_UG,OH_FDR,UG_FDR,HYBRID,CEMM35_FEEDER,4N+_FEEDER
101138,101138,1983-08-25 00:00:00+00:00,ORMOND,Volusia,13.2,CF,Hybrid,1385,1301,81,3,0,2,2,0,6.3,1.2,6.4,4.8,403.606,NORTH,SEL351,1.5 Scheme,1982-07-18 00:00:00+00:00,,0,1,0,1,7.5,0,1,0,0,False,False
101461,101461,1956-06-12 00:00:00+00:00,FLAGLER BEACH,Flagler,22.9,CF,Hybrid,1942,1583,352,7,2,6,0,0,8.9,2.5,27.0,8.4,1140.902,NORTH,MECHANICAL,1.5 Scheme,1982-07-18 00:00:00+00:00,,1,1,0,1,11.4,0,0,0,1,False,False
101462,101462,1956-06-12 00:00:00+00:00,FLAGLER BEACH,Flagler,22.9,CF,Hybrid,1524,1208,311,5,1,4,1,0,8.5,1.8,8.4,10.1,537.082,NORTH,SEL751,1.5 Scheme,2009-04-30 00:00:00+00:00,FI,1,1,0,1,10.3,0,1,0,0,False,False
101463,101463,1994-06-01 00:00:00+00:00,FLAGLER BEACH,Flagler,22.9,CF,Hybrid,2891,2600,259,32,1,5,4,0,22.8,11.7,6.2,39.0,921.62,NORTH,MECHANICAL,1.5 Scheme,2015-02-27 00:00:00+00:00,FI,1,1,0,1,34.5,0,0,0,1,False,False
101464,101464,1998-01-01 00:00:00+00:00,FLAGLER BEACH,Flagler,22.9,CF,Hybrid,2795,2536,254,5,0,4,6,1,32.2,1.2,89.4,11.0,3864.448,NORTH,SEL351,1.5 Scheme,1982-07-18 00:00:00+00:00,FI,0,1,0,1,33.4,0,1,0,0,False,False
101465,101465,2007-11-01 00:00:00+00:00,FLAGLER BEACH,Flagler,22.9,CF,Hybrid,4098,3928,166,4,0,2,2,0,9.8,4.5,52.5,9.5,1979.894,NORTH,SEL351,1.5 Scheme,1982-07-18 00:00:00+00:00,,0,1,0,1,14.3,0,0,0,1,False,False
101466,101466,2008-07-29 00:00:00+00:00,FLAGLER BEACH,Flagler,22.9,CF,Hybrid,1811,1233,573,5,1,3,0,1,10.8,3.4,19.6,5.7,966.112,NORTH,SEL351,None,2009-08-19 00:00:00+00:00,,1,1,0,1,14.2,0,0,0,1,False,False
101534,101534,1967-06-01 00:00:00+00:00,GENERAL ELECTRIC,Volusia,13.2,CF,Hybrid,912,825,83,4,0,3,0,0,3.7,0.2,0.5,6.4,133.476,NORTH,SEL351,None,1982-07-18 00:00:00+00:00,,0,0,0,1,3.9,0,1,0,0,False,False
101535,101535,1974-03-21 00:00:00+00:00,GENERAL ELECTRIC,Volusia,13.2,CF,Hybrid,368,228,137,3,0,3,1,0,2.7,3.2,0.1,6.1,88.984,NORTH,SEL251,None,1982-07-18 00:00:00+00:00,,0,1,0,1,5.9,1,0,0,1,False,False
101538,101538,1989-07-01 00:00:00+00:00,GENERAL ELECTRIC,Volusia,13.2,CF,Hybrid,406,345,56,5,0,0,0,0,1.8,0.5,0.1,7.9,60.382,NORTH,SEL251,None,1982-07-18 00:00:00+00:00,,0,0,0,1,2.3,0,0,0,1,False,False
101540,101540,1994-01-01 00:00:00+00:00,GENERAL ELECTRIC,Volusia,13.2,CF,Hybrid,2064,1857,206,1,0,2,1,0,4.7,0.1,4.3,5.9,286.02,NORTH,SEL751,None,1982-07-18 00:00:00+00:00,,0,1,0,1,4.8,0,1,0,0,False,False
101634,101634,1993-06-01 00:00:00+00:00,HUDSON,Putnam,13.2,NF,Hybrid,478,232,239,7,1,8,0,0,7.7,0.0,8.0,3.7,498.946,NORTH,SEL351,None,2014-02-20 00:00:00+00:00,,1,1,0,1,7.7,0,1,0,0,False,False
101635,101635,1993-06-01 00:00:00+00:00,HUDSON,Putnam,13.2,NF,Hybrid,123,33,89,1,0,6,0,0,5.4,0.1,2.7,2.1,257.418,NORTH,SEL351,None,2010-07-29 00:00:00+00:00,,0,0,0,1,5.5,0,1,0,0,False,False
101861,101861,1966-12-01 00:00:00+00:00,ORANGEDALE,St Johns,22.9,NF,Hybrid,2990,2825,146,19,1,6,1,0,9.6,4.6,0.6,44.0,324.156,NORTH,MECHANICAL,1.5 Scheme,1982-07-18 00:00:00+00:00,,1,1,0,1,14.2,0,0,0,1,False,False
101862,101862,1966-12-01 00:00:00+00:00,ORANGEDALE,St Johns,22.9,NF,Hybrid,1965,1712,234,19,0,2,0,0,6.0,8.6,13.3,26.0,613.354,NORTH,MECHANICAL,None,1982-07-18 00:00:00+00:00,,0,0,0,1,14.6,1,0,0,1,False,False
101863,101863,1992-06-01 00:00:00+00:00,ORANGEDALE,St Johns,22.9,NF,Hybrid,1660,1432,210,18,2,3,2,9,23.6,1.7,34.4,15.6,1843.24,NORTH,SEL751,1.5 Scheme,1982-07-18 00:00:00+00:00,FI,1,1,0,1,25.3,0,1,0,0,False,False
101864,101864,1993-06-01 00:00:00+00:00,ORANGEDALE,St Johns,22.9,NF,Hybrid,3409,3266,121,22,1,5,0,0,10.4,8.0,11.8,45.5,705.516,NORTH,MECHANICAL,1.5 Scheme,1982-07-18 00:00:00+00:00,,1,1,0,1,18.4,0,0,0,1,False,False
101865,101865,1999-09-03 00:00:00+00:00,ORANGEDALE,St Johns,22.9,NF,Hybrid,188,154,32,2,0,0,0,2,5.0,0.1,5.7,2.3,340.046,NORTH,SEL251,None,1982-07-18 00:00:00+00:00,,0,1,0,1,5.1,0,1,0,0,False,False
101931,101931,1968-05-21 00:00:00+00:00,EDGEWATER,Volusia,13.2,CF,Hybrid,902,706,192,4,0,3,0,0,5.8,0.1,7.9,5.5,435.386,NORTH,MECHANICAL,None,2012-12-26 00:00:00+00:00,,0,0,0,1,5.9,0,1,0,0,False,False
101932,101932,1968-05-21 00:00:00+00:00,EDGEWATER,Volusia,13.2,CF,OH,2357,2281,74,2,0,4,0,1,3.4,0.1,22.5,0.0,823.102,NORTH,MECHANICAL,None,1982-07-18 00:00:00+00:00,,0,1,0,1,3.5,0,1,0,0,False,False
101933,101933,1974-06-01 00:00:00+00:00,EDGEWATER,Volusia,13.2,CF,Hybrid,1827,1517,303,7,0,1,0,0,3.9,0.1,10.1,6.1,444.92,NORTH,SEL251,None,1982-07-18 00:00:00+00:00,,0,0,0,1,4.0,0,1,0,0,False,False
101934,101934,1978-06-01 00:00:00+00:00,EDGEWATER,Volusia,13.2,CF,Hybrid,1502,1193,305,4,0,3,0,0,6.7,0.0,9.9,2.0,527.548,NORTH,SEL251,None,1982-07-18 00:00:00+00:00,,0,0,0,1,6.7,0,1,0,0,False,False
101935,101935,1983-03-25 00:00:00+00:00,EDGEWATER,Volusia,13.2,CF,Hybrid,1743,1657,83,3,0,2,3,1,12.3,0.1,25.5,3.2,1201.284,NORTH,SEL751,None,2013-09-26 00:00:00+00:00,,0,1,0,1,12.4,0,1,0,0,False,False
101936,101936,1997-01-01 00:00:00+00:00,EDGEWATER,Volusia,13.2,CF,Hybrid,1945,1817,123,5,0,4,2,4,9.7,0.7,20.2,12.1,950.222,NORTH,SEL351,None,1982-07-18 00:00:00+00:00,,0,1,0,1,10.4,0,1,0,0,False,False
101937,101937,2001-11-28 00:00:00+00:00,EDGEWATER,Volusia,13.2,CF,Hybrid,1921,1830,88,3,0,3,0,0,2.4,1.2,17.5,1.4,632.422,NORTH,SEL251,None,2009-07-23 00:00:00+00:00,,0,0,0,1,3.6,0,0,0,1,False,False
101938,101938,2005-12-30 00:00:00+00:00,EDGEWATER,Volusia,13.2,CF,Hybrid,1558,1431,123,4,0,3,0,0,2.8,1.2,11.8,7.3,463.988,NORTH,SEL351,None,1982-07-18 00:00:00+00:00,,0,0,0,1,4.0,0,0,0,1,False,False
102031,102031,1969-03-16 00:00:00+00:00,BULOW,Volusia,13.2,CF,Hybrid,1280,1204,73,3,0,3,0,0,2.9,2.4,0.6,27.4,111.23,NORTH,SEL251,1.5 Scheme,2012-12-17 00:00:00+00:00,FI,0,0,0,1,5.3,0,0,0,1,False,False
